batch_id,sku_id,region,quantity,expiry_days,expiry_date
BATCH_00001,SKU_008,Region_Metro_3,92.5,117.0,2026-12-11
BATCH_00002,SKU_015,Region_Tier2_1,2.0,164.0,2027-01-27
BATCH_00003,SKU_004,Region_Tier2_3,0.0,,
BATCH_00004,SKU_004,Region_Tier2_3,0.0,,
BATCH_00005,SKU_004,Region_Tier2_3,0.0,,
BATCH_00006,SKU_005,Region_Metro_1,75.0,195.0,2027-02-27
BATCH_00007,SKU_005,Region_Metro_2,22.3,84.0,2026-11-08
BATCH_00008,SKU_005,Region_Metro_2,64.9,165.0,2027-01-28
BATCH_00009,SKU_005,Region_Metro_2,4.5,187.0,2027-02-19
BATCH_00010,SKU_005,Region_Metro_3,10.1,33.0,2026-09-18
BATCH_00011,SKU_005,Region_Tier2_1,0.0,,
BATCH_00012,SKU_005,Region_Tier2_2,0.0,,
BATCH_00013,SKU_005,Region_Tier2_2,0.0,,
BATCH_00014,SKU_005,Region_Tier2_2,0.0,,
BATCH_00015,SKU_005,Region_Tier2_3,0.0,,
BATCH_00016,SKU_005,Region_Tier2_3,0.0,,
BATCH_00017,SKU_005,Region_Tier2_3,0.0,,
BATCH_00018,SKU_006,Region_Metro_1,163.2,37.0,2026-09-22
BATCH_00019,SKU_006,Region_Metro_1,982.8,220.0,2027-03-24
BATCH_00020,SKU_004,Region_Tier2_2,0.0,,
BATCH_00021,SKU_004,Region_Tier2_2,0.0,,
BATCH_00022,SKU_004,Region_Tier2_2,0.0,,
BATCH_00023,SKU_006,Region_Metro_2,1107.0,109.0,2026-12-03
BATCH_00024,SKU_006,Region_Tier2_1,1199.0,81.0,2026-11-05
BATCH_00025,SKU_006,Region_Tier2_2,571.5,9.0,2026-08-25
BATCH_00026,SKU_006,Region_Tier2_2,335.1,128.0,2026-12-22
BATCH_00027,SKU_006,Region_Tier2_2,462.3,336.0,2027-07-18
BATCH_00028,SKU_006,Region_Tier2_3,1316.0,202.0,2027-03-06
BATCH_00029,SKU_007,Region_Metro_1,156.8,133.0,2026-12-27
BATCH_00030,SKU_007,Region_Metro_1,563.8,231.0,2027-04-04
BATCH_00031,SKU_007,Region_Metro_1,91.7,303.0,2027-06-15
BATCH_00032,SKU_007,Region_Metro_2,38.8,138.0,2027-01-01
BATCH_00033,SKU_007,Region_Metro_2,233.5,148.0,2027-01-11
BATCH_00034,SKU_007,Region_Metro_2,388.5,186.0,2027-02-18
BATCH_00035,SKU_007,Region_Metro_3,327.7,241.0,2027-04-14
BATCH_00036,SKU_007,Region_Tier2_1,196.1,111.0,2026-12-05
BATCH_00037,SKU_007,Region_Tier2_1,165.4,248.0,2027-04-21
BATCH_00038,SKU_007,Region_Tier2_2,531.2,51.0,2026-10-06
BATCH_00039,SKU_006,Region_Metro_3,1248.0,265.0,2027-05-08
BATCH_00040,SKU_004,Region_Tier2_1,0.0,,
BATCH_00041,SKU_004,Region_Tier2_1,0.0,,
BATCH_00042,SKU_004,Region_Tier2_1,0.0,,
BATCH_00043,SKU_004,Region_Metro_3,0.0,,
BATCH_00044,SKU_004,Region_Metro_2,65.2,83.0,2026-11-07
BATCH_00045,SKU_004,Region_Metro_2,57.8,193.0,2027-02-25
BATCH_00046,SKU_001,Region_Metro_1,0.0,,
BATCH_00047,SKU_001,Region_Metro_2,0.0,,
BATCH_00048,SKU_001,Region_Metro_3,0.0,,
BATCH_00049,SKU_001,Region_Tier2_1,0.0,,
BATCH_00050,SKU_001,Region_Tier2_1,0.0,,
BATCH_00051,SKU_001,Region_Tier2_1,0.0,,
BATCH_00052,SKU_001,Region_Tier2_2,0.0,,
BATCH_00053,SKU_001,Region_Tier2_3,0.0,,
BATCH_00054,SKU_001,Region_Tier2_3,0.0,,
BATCH_00055,SKU_002,Region_Metro_1,1514.7,54.0,2026-10-09
BATCH_00056,SKU_002,Region_Metro_1,668.6,265.0,2027-05-08
BATCH_00057,SKU_002,Region_Metro_2,1882.8,40.0,2026-09-25
BATCH_00058,SKU_002,Region_Metro_2,269.2,95.0,2026-11-19
BATCH_00059,SKU_002,Region_Metro_3,2206.0,189.0,2027-02-21
BATCH_00060,SKU_002,Region_Tier2_1,1042.9,127.0,2026-12-21
BATCH_00061,SKU_002,Region_Tier2_1,1339.1,199.0,2027-03-03
BATCH_00062,SKU_002,Region_Tier2_2,988.2,34.0,2026-09-19
BATCH_00063,SKU_002,Region_Tier2_2,1086.6,113.0,2026-12-07
BATCH_00064,SKU_002,Region_Tier2_2,348.2,172.0,2027-02-04
BATCH_00065,SKU_002,Region_Tier2_3,570.7,180.0,2027-02-12
BATCH_00066,SKU_002,Region_Tier2_3,1828.3,193.0,2027-02-25
BATCH_00067,SKU_003,Region_Metro_1,44.4,57.0,2026-10-12
BATCH_00068,SKU_003,Region_Metro_2,0.0,,
BATCH_00069,SKU_003,Region_Metro_3,122.2,167.0,2027-01-30
BATCH_00070,SKU_003,Region_Tier2_1,32.7,82.0,2026-11-06
BATCH_00071,SKU_003,Region_Tier2_1,5.9,311.0,2027-06-23
BATCH_00072,SKU_003,Region_Tier2_2,35.1,35.0,2026-09-20
BATCH_00073,SKU_003,Region_Tier2_3,0.2,13.0,2026-08-29
BATCH_00074,SKU_003,Region_Tier2_3,0.7,214.0,2027-03-18
BATCH_00075,SKU_003,Region_Tier2_3,2.0,274.0,2027-05-17
BATCH_00076,SKU_004,Region_Metro_1,0.0,,
BATCH_00077,SKU_007,Region_Tier2_3,378.1,313.0,2027-06-25
BATCH_00078,SKU_015,Region_Tier2_2,0.0,,
BATCH_00079,SKU_015,Region_Tier2_2,0.0,,
BATCH_00080,SKU_008,Region_Metro_1,0.0,,
BATCH_00081,SKU_008,Region_Metro_1,0.0,,
BATCH_00082,SKU_008,Region_Metro_1,0.0,,
BATCH_00083,SKU_008,Region_Tier2_1,0.0,,
BATCH_00084,SKU_008,Region_Tier2_1,0.0,,
BATCH_00085,SKU_008,Region_Tier2_1,0.0,,
BATCH_00086,SKU_012,Region_Tier2_1,0.0,,
BATCH_00087,SKU_012,Region_Tier2_1,0.0,,
BATCH_00088,SKU_012,Region_Tier2_2,572.3,88.0,2026-11-12
BATCH_00089,SKU_012,Region_Tier2_2,200.5,109.0,2026-12-03
BATCH_00090,SKU_012,Region_Tier2_3,4.2,182.0,2027-02-14
BATCH_00091,SKU_012,Region_Tier2_3,36.4,269.0,2027-05-12
BATCH_00092,SKU_012,Region_Tier2_3,3.4,317.0,2027-06-29
BATCH_00093,SKU_013,Region_Metro_1,0.0,,
BATCH_00094,SKU_013,Region_Metro_1,0.0,,
BATCH_00095,SKU_013,Region_Metro_2,154.7,26.0,2026-09-11
BATCH_00096,SKU_013,Region_Metro_2,79.1,99.0,2026-11-23
BATCH_00097,SKU_013,Region_Metro_3,41.2,57.0,2026-10-12
BATCH_00098,SKU_013,Region_Metro_3,20.4,88.0,2026-11-12
BATCH_00099,SKU_013,Region_Metro_3,3.1,141.0,2027-01-04
BATCH_00100,SKU_013,Region_Tier2_1,0.0,,
BATCH_00101,SKU_013,Region_Tier2_1,0.0,,
BATCH_00102,SKU_013,Region_Tier2_1,0.0,,
BATCH_00103,SKU_013,Region_Tier2_2,36.7,85.0,2026-11-09
BATCH_00104,SKU_013,Region_Tier2_2,38.9,117.0,2026-12-11
BATCH_00105,SKU_012,Region_Metro_3,5.5,36.0,2026-09-21
BATCH_00106,SKU_012,Region_Metro_3,133.3,81.0,2026-11-05
BATCH_00107,SKU_012,Region_Metro_3,1.0,257.0,2027-04-30
BATCH_00108,SKU_013,Region_Tier2_3,3.5,27.0,2026-09-12
BATCH_00109,SKU_013,Region_Tier2_3,7.9,55.0,2026-10-10
BATCH_00110,SKU_013,Region_Tier2_3,1.8,65.0,2026-10-20
BATCH_00111,SKU_014,Region_Metro_2,12.7,80.0,2026-11-04
BATCH_00112,SKU_014,Region_Metro_3,0.0,,
BATCH_00113,SKU_014,Region_Metro_3,0.0,,
BATCH_00114,SKU_014,Region_Metro_3,0.0,,
BATCH_00115,SKU_014,Region_Tier2_1,61.8,37.0,2026-09-22
BATCH_00116,SKU_014,Region_Tier2_1,51.0,38.0,2026-09-23
BATCH_00117,SKU_014,Region_Tier2_2,23.7,70.0,2026-10-25
BATCH_00118,SKU_014,Region_Tier2_2,30.3,88.0,2026-11-12
BATCH_00119,SKU_014,Region_Tier2_2,5.9,97.0,2026-11-21
BATCH_00120,SKU_014,Region_Tier2_3,0.0,,
BATCH_00121,SKU_014,Region_Tier2_3,0.0,,
BATCH_00122,SKU_014,Region_Tier2_3,0.0,,
BATCH_00123,SKU_015,Region_Metro_1,1.0,39.0,2026-09-24
BATCH_00124,SKU_015,Region_Metro_1,1.5,147.0,2027-01-10
BATCH_00125,SKU_015,Region_Metro_2,6.0,54.0,2026-10-09
BATCH_00126,SKU_015,Region_Metro_2,8.9,123.0,2026-12-17
BATCH_00127,SKU_015,Region_Metro_2,5.7,135.0,2026-12-29
BATCH_00128,SKU_015,Region_Metro_3,15.5,19.0,2026-09-04
BATCH_00129,SKU_015,Region_Metro_3,65.4,36.0,2026-09-21
BATCH_00130,SKU_015,Region_Metro_3,6.4,135.0,2026-12-29
BATCH_00131,SKU_014,Region_Metro_1,0.0,,
BATCH_00132,SKU_012,Region_Metro_2,58.8,152.0,2027-01-15
BATCH_00133,SKU_012,Region_Metro_2,28.4,232.0,2027-04-05
BATCH_00134,SKU_012,Region_Metro_1,0.0,,
BATCH_00135,SKU_012,Region_Metro_1,0.0,,
BATCH_00136,SKU_012,Region_Metro_1,0.0,,
BATCH_00137,SKU_011,Region_Tier2_3,0.0,,
BATCH_00138,SKU_008,Region_Tier2_2,7.1,59.0,2026-10-14
BATCH_00139,SKU_008,Region_Tier2_3,50.0,31.0,2026-09-16
BATCH_00140,SKU_008,Region_Tier2_3,7.1,87.0,2026-11-11
BATCH_00141,SKU_008,Region_Tier2_3,43.4,147.0,2027-01-10
BATCH_00142,SKU_009,Region_Metro_1,6.7,19.0,2026-09-04
BATCH_00143,SKU_009,Region_Metro_1,41.3,77.0,2026-11-01
BATCH_00144,SKU_009,Region_Metro_2,0.0,,
BATCH_00145,SKU_009,Region_Metro_3,0.0,,
BATCH_00146,SKU_009,Region_Metro_3,0.0,,
BATCH_00147,SKU_009,Region_Tier2_1,0.0,,
BATCH_00148,SKU_009,Region_Tier2_2,34.3,11.0,2026-08-27
BATCH_00149,SKU_009,Region_Tier2_3,17.1,28.0,2026-09-13
BATCH_00150,SKU_010,Region_Metro_1,613.1,36.0,2026-09-21
BATCH_00151,SKU_010,Region_Metro_1,153.2,110.0,2026-12-04
BATCH_00152,SKU_010,Region_Metro_1,223.1,245.0,2027-04-18
BATCH_00153,SKU_010,Region_Metro_2,1315.3,240.0,2027-04-13
BATCH_00154,SKU_010,Region_Metro_3,0.0,,
BATCH_00155,SKU_010,Region_Tier2_1,575.7,97.0,2026-11-21
BATCH_00156,SKU_010,Region_Tier2_2,96.0,35.0,2026-09-20
BATCH_00157,SKU_010,Region_Tier2_3,284.5,108.0,2026-12-02
BATCH_00158,SKU_010,Region_Tier2_3,81.3,155.0,2027-01-18
BATCH_00159,SKU_010,Region_Tier2_3,700.1,219.0,2027-03-23
BATCH_00160,SKU_011,Region_Metro_1,0.0,,
BATCH_00161,SKU_011,Region_Metro_1,0.0,,
BATCH_00162,SKU_011,Region_Metro_2,0.0,,
BATCH_00163,SKU_011,Region_Metro_3,0.0,,
BATCH_00164,SKU_011,Region_Metro_3,0.0,,
BATCH_00165,SKU_011,Region_Tier2_1,42.0,162.0,2027-01-25
BATCH_00166,SKU_011,Region_Tier2_2,33.2,5.0,2026-08-21
BATCH_00167,SKU_011,Region_Tier2_2,0.1,177.0,2027-02-09
BATCH_00168,SKU_008,Region_Metro_2,3.4,67.0,2026-10-22
BATCH_00169,SKU_008,Region_Metro_2,1.6,79.0,2026-11-03
BATCH_00170,SKU_008,Region_Metro_2,3.3,107.0,2026-12-01
BATCH_00171,SKU_015,Region_Tier2_3,0.0,,
