date,sku_id,region,region_type,sku_criticality,day_of_week,month,is_flu_season,promotion_flag,sensed_demand_signal,current_stock,warehouse_capacity,lead_time_days,stockout_flag,demand,nearest_batch_expiry_days,num_batches
2026-08-16,SKU_008,Region_Metro_3,Metro,Critical,Sunday,8,0,0,99.1,92.5,1775,8,0,97,117,1
2026-08-16,SKU_015,Region_Tier2_1,Tier-2,Non-Critical,Sunday,8,0,0,53.2,2.0,1139,11,0,52,200,1
2026-08-16,SKU_004,Region_Tier2_3,Tier-2,Critical,Sunday,8,0,0,67.3,0.0,2474,11,1,72,181,1
2026-08-16,SKU_005,Region_Metro_1,Metro,Critical,Sunday,8,0,0,114.2,75.0,1081,13,0,104,70,2
2026-08-16,SKU_005,Region_Metro_2,Metro,Critical,Sunday,8,0,0,117.4,91.7,1081,13,0,115,50,3
2026-08-16,SKU_005,Region_Metro_3,Metro,Critical,Sunday,8,0,0,97.1,10.1,1081,13,0,95,174,1
2026-08-16,SKU_005,Region_Tier2_1,Tier-2,Critical,Sunday,8,0,0,65.8,0.0,1081,13,1,62,58,1
2026-08-16,SKU_005,Region_Tier2_2,Tier-2,Critical,Sunday,8,0,0,73.0,0.0,1081,13,1,73,29,3
2026-08-16,SKU_005,Region_Tier2_3,Tier-2,Critical,Sunday,8,0,0,57.7,0.0,1081,13,1,64,146,2
2026-08-16,SKU_006,Region_Metro_1,Metro,Critical,Sunday,8,0,0,114.2,1146.0,1615,5,0,105,134,3
2026-08-16,SKU_004,Region_Tier2_2,Tier-2,Critical,Sunday,8,0,0,99.9,0.0,2474,11,1,92,170,2
2026-08-16,SKU_006,Region_Metro_2,Metro,Critical,Sunday,8,0,0,139.1,1107.0,1615,5,0,134,20,1
2026-08-16,SKU_006,Region_Tier2_1,Tier-2,Critical,Sunday,8,0,0,82.1,1199.0,1615,5,0,87,33,1
2026-08-16,SKU_006,Region_Tier2_2,Tier-2,Critical,Sunday,8,0,0,51.1,1369.0,1615,5,0,50,70,3
2026-08-16,SKU_006,Region_Tier2_3,Tier-2,Critical,Sunday,8,0,0,68.5,1316.0,1615,5,0,65,299,1
2026-08-16,SKU_007,Region_Metro_1,Metro,Critical,Sunday,8,0,0,142.8,812.3,2216,7,0,134,64,1
2026-08-16,SKU_007,Region_Metro_2,Metro,Critical,Sunday,8,0,0,126.7,660.8,2216,7,0,135,31,1
2026-08-16,SKU_007,Region_Metro_3,Metro,Critical,Sunday,8,0,0,90.2,327.7,2216,7,0,91,62,1
2026-08-16,SKU_007,Region_Tier2_1,Tier-2,Critical,Sunday,8,0,1,140.1,361.5,2216,7,0,138,52,2
